district,age,sex,rural,urban,total
ABBOTTABAD DISTRICT,59,Male,2703,742,3445
ABBOTTABAD DISTRICT,59,Female,2434,570,3004
ABBOTTABAD DISTRICT,59,Transgender,0,0,0
ABBOTTABAD DISTRICT,60,Male,2722,899,3621
ABBOTTABAD DISTRICT,60,Female,2727,757,3484
ABBOTTABAD DISTRICT,60,Transgender,0,0,0
ABBOTTABAD DISTRICT,61,Male,2721,699,3420
ABBOTTABAD DISTRICT,61,Female,2672,595,3267
ABBOTTABAD DISTRICT,61,Transgender,0,0,0
ABBOTTABAD DISTRICT,62,Male,2781,743,3524
ABBOTTABAD DISTRICT,62,Female,2609,641,3250
ABBOTTABAD DISTRICT,62,Transgender,0,0,0
ABBOTTABAD DISTRICT,63,Male,2719,669,3388
ABBOTTABAD DISTRICT,63,Female,2663,618,3281
ABBOTTABAD DISTRICT,63,Transgender,0,0,0
ABBOTTABAD DISTRICT,64,Male,2442,641,3083
ABBOTTABAD DISTRICT,64,Female,2277,548,2825
ABBOTTABAD DISTRICT,64,Transgender,0,0,0
ABBOTTABAD DISTRICT,65,Male,2198,651,2849
ABBOTTABAD DISTRICT,65,Female,2156,503,2659
ABBOTTABAD DISTRICT,65,Transgender,0,0,0
ABBOTTABAD DISTRICT,66,Male,1947,456,2403
ABBOTTABAD DISTRICT,66,Female,1834,338,2172
ABBOTTABAD DISTRICT,66,Transgender,0,1,1
ABBOTTABAD DISTRICT,67,Male,1852,425,2277
ABBOTTABAD DISTRICT,67,Female,1754,272,2026
ABBOTTABAD DISTRICT,67,Transgender,0,0,0
ABBOTTABAD DISTRICT,68,Male,2073,472,2545
ABBOTTABAD DISTRICT,68,Female,1931,400,2331
ABBOTTABAD DISTRICT,68,Transgender,0,0,0
ABBOTTABAD DISTRICT,69,Male,1640,351,1991
ABBOTTABAD DISTRICT,69,Female,1600,320,1920
ABBOTTABAD DISTRICT,69,Transgender,0,0,0
ABBOTTABAD DISTRICT,70,Male,1564,424,1988
ABBOTTABAD DISTRICT,70,Female,1499,361,1860
ABBOTTABAD DISTRICT,70,Transgender,0,0,0
ABBOTTABAD DISTRICT,71,Male,1519,343,1862
