district,group,relationship,sex,total_pop,never_married,married,widowed,divorced
DERA ISMAIL KHAN DISTRICT,OVERALL,Son/Daughter,Male,181872,115196,66029,482,165
DERA ISMAIL KHAN DISTRICT,OVERALL,Son/Daughter,Female,82897,78272,3402,622,601
DERA ISMAIL KHAN DISTRICT,OVERALL,Son/Daughter,Transgender,9,9,,,
DERA ISMAIL KHAN DISTRICT,OVERALL,Daughter / Son In Law,Overall,75786,,75170,606,10
DERA ISMAIL KHAN DISTRICT,OVERALL,Daughter / Son In Law,Male,1219,,1214,5,
DERA ISMAIL KHAN DISTRICT,OVERALL,Daughter / Son In Law,Female,74567,,73956,601,10
DERA ISMAIL KHAN DISTRICT,OVERALL,Grand Son / Grand Daughter,Overall,11351,9795,1529,18,9
DERA ISMAIL KHAN DISTRICT,OVERALL,Grand Son / Grand Daughter,Male,6538,5485,1044,4,5
DERA ISMAIL KHAN DISTRICT,OVERALL,Grand Son / Grand Daughter,Female,4811,4308,485,14,4
DERA ISMAIL KHAN DISTRICT,OVERALL,Grand Son / Grand Daughter,Transgender,2,2,,,
DERA ISMAIL KHAN DISTRICT,OVERALL,Father/Mother,Overall,33676,,14375,19200,101
DERA ISMAIL KHAN DISTRICT,OVERALL,Father/Mother,Male,7953,,6017,1931,5
DERA ISMAIL KHAN DISTRICT,OVERALL,Father/Mother,Female,25723,,8358,17269,96
DERA ISMAIL KHAN DISTRICT,OVERALL,Brother / Sister,Overall,58287,31279,24898,1514,596
DERA ISMAIL KHAN DISTRICT,OVERALL,Brother / Sister,Male,42713,18665,23456,496,96
DERA ISMAIL KHAN DISTRICT,OVERALL,Brother / Sister,Female,15555,12595,1442,1018,500
DERA ISMAIL KHAN DISTRICT,OVERALL,Brother / Sister,Transgender,19,19,,,
DERA ISMAIL KHAN DISTRICT,OVERALL,Other Relative,Overall,57982,15219,39011,3591,161
DERA ISMAIL KHAN DISTRICT,OVERALL,Other Relative,Male,16602,8623,7489,466,24
DERA ISMAIL KHAN DISTRICT,OVERALL,Other Relative,Female,41343,6559,31522,3125,137
DERA ISMAIL KHAN DISTRICT,OVERALL,Other Relative,Transgender,37,37,,,
DERA ISMAIL KHAN DISTRICT,OVERALL,Non-Relative,Overall,24323,11362,12441,486,34
DERA ISMAIL KHAN DISTRICT,OVERALL,Non-Relative,Male,15505,8427,6965,95,18
DERA ISMAIL KHAN DISTRICT,OVERALL,Non-Relative,Female,8792,2909,5476,391,16
DERA ISMAIL KHAN DISTRICT,OVERALL,Non-Relative,Transgender,26,26,,,
DERA ISMAIL KHAN DISTRICT,RURAL,Head,Overall,148622,3905,136306,8241,170
DERA ISMAIL KHAN DISTRICT,RURAL,Head,Male,138169,3705,130173,4196,95
DERA ISMAIL KHAN DISTRICT,RURAL,Head,Female,10452,199,6133,4045,75
DERA ISMAIL KHAN DISTRICT,RURAL,Head,Transgender,1,1,,,
DERA ISMAIL KHAN DISTRICT,RURAL,Spouse,Overall,135300,,135300,,
DERA ISMAIL KHAN DISTRICT,RURAL,Spouse,Male,3080,,3080,,
DERA ISMAIL KHAN DISTRICT,RURAL,Spouse,Female,132220,,132220,,
DERA ISMAIL KHAN DISTRICT,RURAL,Son/Daughter,Overall,194785,138680,54704,833,568
DERA ISMAIL KHAN DISTRICT,RURAL,Son/Daughter,Male,136157,83536,52124,380,117
DERA ISMAIL KHAN DISTRICT,RURAL,Son/Daughter,Female,58621,55137,2580,453,451
DERA ISMAIL KHAN DISTRICT,RURAL,Son/Daughter,Transgender,7,7,,,
DERA ISMAIL KHAN DISTRICT,RURAL,Daughter / Son In Law,Overall,60304,,59804,492,8
DERA ISMAIL KHAN DISTRICT,RURAL,Daughter / Son In Law,Male,920,,915,5,
DERA ISMAIL KHAN DISTRICT,RURAL,Daughter / Son In Law,Female,59384,,58889,487,8
DERA ISMAIL KHAN DISTRICT,RURAL,Grand Son / Grand Daughter,Overall,8891,7586,1282,14,9
DERA ISMAIL KHAN DISTRICT,RURAL,Grand Son / Grand Daughter,Male,5169,4274,888,2,5
DERA ISMAIL KHAN DISTRICT,RURAL,Grand Son / Grand Daughter,Female,3720,3310,394,12,4
DERA ISMAIL KHAN DISTRICT,RURAL,Grand Son / Grand Daughter,Transgender,2,2,,,
DERA ISMAIL KHAN DISTRICT,RURAL,Father/Mother,Overall,25630,,11357,14195,78
DERA ISMAIL KHAN DISTRICT,RURAL,Father/Mother,Male,6271,,4764,1504,3
DERA ISMAIL KHAN DISTRICT,RURAL,Father/Mother,Female,19359,,6593,12691,75
DERA ISMAIL KHAN DISTRICT,RURAL,Brother / Sister,Overall,43058,21767,19739,1122,430
DERA ISMAIL KHAN DISTRICT,RURAL,Brother / Sister,Male,32379,13290,18651,376,62
DERA ISMAIL KHAN DISTRICT,RURAL,Brother / Sister,Female,10661,8459,1088,746,368
DERA ISMAIL KHAN DISTRICT,RURAL,Brother / Sister,Transgender,18,18,,,
DERA ISMAIL KHAN DISTRICT,RURAL,Other Relative,Overall,45503,11332,31382,2668,121
DERA ISMAIL KHAN DISTRICT,RURAL,Other Relative,Male,12584,6364,5838,367,15
DERA ISMAIL KHAN DISTRICT,RURAL,Other Relative,Female,32889,4938,25544,2301,106
DERA ISMAIL KHAN DISTRICT,RURAL,Other Relative,Transgender,30,30,,,
DERA ISMAIL KHAN DISTRICT,RURAL,Non-Relative,Overall,16767,7248,9125,376,18
DERA ISMAIL KHAN DISTRICT,RURAL,Non-Relative,Male,9689,5140,4475,67,7
DERA ISMAIL KHAN DISTRICT,RURAL,Non-Relative,Female,7077,2107,4650,309,11
DERA ISMAIL KHAN DISTRICT,RURAL,Non-Relative,Transgender,1,1,,,
DERA ISMAIL KHAN DISTRICT,URBAN,Head,Overall,49983,2602,43605,3683,93
DERA ISMAIL KHAN DISTRICT,URBAN,Head,Male,45833,2456,41804,1533,40
DERA ISMAIL KHAN DISTRICT,URBAN,Head,Female,4142,138,1801,2150,53
DERA ISMAIL KHAN DISTRICT,URBAN,Head,Transgender,8,8,,,
DERA ISMAIL KHAN DISTRICT,URBAN,Spouse,Overall,42479,,42479,,
DERA ISMAIL KHAN DISTRICT,URBAN,Spouse,Male,881,,881,,
DERA ISMAIL KHAN DISTRICT,URBAN,Spouse,Female,41598,,41598,,
DERA ISMAIL KHAN DISTRICT,URBAN,Son/Daughter,Overall,69993,54797,14727,271,198
DERA ISMAIL KHAN DISTRICT,URBAN,Son/Daughter,Male,45715,31660,13905,102,48
DERA ISMAIL KHAN DISTRICT,URBAN,Son/Daughter,Female,24276,23135,822,169,150
DERA ISMAIL KHAN DISTRICT,URBAN,Son/Daughter,Transgender,2,2,,,
DERA ISMAIL KHAN DISTRICT,URBAN,Daughter / Son In Law,Overall,15482,,15366,114,2
DERA ISMAIL KHAN DISTRICT,URBAN,Daughter / Son In Law,Male,299,,299,,
DERA ISMAIL KHAN DISTRICT,URBAN,Daughter / Son In Law,Female,15183,,15067,114,2
DERA ISMAIL KHAN DISTRICT,URBAN,Grand Son / Grand Daughter,Overall,2460,2209,247,4,
DERA ISMAIL KHAN DISTRICT,URBAN,Grand Son / Grand Daughter,Male,1369,1211,156,2,
DERA ISMAIL KHAN DISTRICT,URBAN,Grand Son / Grand Daughter,Female,1091,998,91,2,
