district,group,relationship,total_pop,never_married,married,widowed,divorced
ABBOTTABAD DISTRICT,RURAL,Other Relative,30682,8460,18716,3309,197
ABBOTTABAD DISTRICT,RURAL,Non-Relative,9047,4450,4345,230,22
ABBOTTABAD DISTRICT,URBAN,Head,44319,2147,38694,3329,149
ABBOTTABAD DISTRICT,URBAN,Spouse,35541,,35541,,
ABBOTTABAD DISTRICT,URBAN,Son/Daughter,55602,44115,11023,188,276
ABBOTTABAD DISTRICT,URBAN,Daughter / Son In Law,11998,,11922,72,4
ABBOTTABAD DISTRICT,URBAN,Grand Son / Grand Daughter,2123,1927,191,2,3
ABBOTTABAD DISTRICT,URBAN,Father/Mother,6695,,3212,3461,22
ABBOTTABAD DISTRICT,URBAN,Brother / Sister,9129,5456,3301,252,120
ABBOTTABAD DISTRICT,URBAN,Other Relative,9476,3247,5469,710,50
ABBOTTABAD DISTRICT,URBAN,Non-Relative,19429,12275,7045,84,25
BATAGRAM DISTRICT,OVERALL,Head,68793,1380,63767,3622,24
BATAGRAM DISTRICT,OVERALL,Spouse,57657,,57657,,
BATAGRAM DISTRICT,OVERALL,Son/Daughter,64122,46874,17004,162,82
BATAGRAM DISTRICT,OVERALL,Daughter / Son In Law,22781,,22624,152,5
BATAGRAM DISTRICT,OVERALL,Grand Son / Grand Daughter,3170,2628,536,5,1
BATAGRAM DISTRICT,OVERALL,Father/Mother,9120,,4498,4609,13
BATAGRAM DISTRICT,OVERALL,Brother / Sister,9908,5936,3737,200,35
BATAGRAM DISTRICT,OVERALL,Other Relative,11896,2220,8717,944,15
BATAGRAM DISTRICT,OVERALL,Non-Relative,2280,824,1407,46,3
BATAGRAM DISTRICT,RURAL,Head,68793,1380,63767,3622,24
BATAGRAM DISTRICT,RURAL,Spouse,57657,,57657,,
BATAGRAM DISTRICT,RURAL,Son/Daughter,64122,46874,17004,162,82
BATAGRAM DISTRICT,RURAL,Daughter / Son In Law,22781,,22624,152,5
BATAGRAM DISTRICT,RURAL,Grand Son / Grand Daughter,3170,2628,536,5,1
BATAGRAM DISTRICT,RURAL,Father/Mother,9120,,4498,4609,13
BATAGRAM DISTRICT,RURAL,Brother / Sister,9908,5936,3737,200,35
BATAGRAM DISTRICT,RURAL,Other Relative,11896,2220,8717,944,15
