district,type,total_pop,head,spouse,son_daughter,daughter_son_inlaw,grandson_daughter,father_mother,brother_sister,other_relative,nonrelative
JHANG DISTRICT, TRANSGENDER,261,56,,25,,4,,28,113,35
TOBA TEK SINGH DISTRICT, MALE,1100365,290831,11986,547699,2315,111504,14051,51009,56445,14525
TOBA TEK SINGH DISTRICT, FEMALE,1090879,47421,261027,411586,107261,105899,36555,26880,83088,11162
TOBA TEK SINGH DISTRICT, TRANSGENDER,251,62,,17,,8,,25,102,37
SAHIWAL DISTRICT, MALE,1276646,339064,17160,639262,2911,108296,16452,63851,69616,20034
SAHIWAL DISTRICT, FEMALE,1236119,52751,303641,480059,107162,102600,42666,34989,99226,13025
SAHIWAL DISTRICT, TRANSGENDER,246,46,,12,,3,,28,122,35
OKARA DISTRICT, MALE,1564470,434041,18194,817877,3200,109701,20439,60956,64956,35106
OKARA DISTRICT, FEMALE,1476071,53615,400713,630022,106801,103754,49825,34817,83798,12726
OKARA DISTRICT, TRANSGENDER,285,71,,15,,3,,26,108,62
PAKPATTAN DISTRICT, MALE,928110,268571,10844,496276,1838,65809,10292,34340,31559,8581
PAKPATTAN DISTRICT, FEMALE,895899,35739,243835,384852,66172,62502,30020,22142,44588,6049
PAKPATTAN DISTRICT, TRANSGENDER,219,68,,15,,7,,23,64,42
BAHAWALNAGAR DISTRICT, MALE,1510427,427480,18018,800233,2750,107588,21704,59233,55405,18016
BAHAWALNAGAR DISTRICT, FEMALE,1464900,52262,394410,625768,111083,102179,51326,37169,78829,11874
BAHAWALNAGAR DISTRICT, TRANSGENDER,329,67,,32,,5,,43,142,40
BAHAWALPUR DISTRICT, MALE,1879702,511540,21938,979511,3755,141595,22286,70432,76812,51833
BAHAWALPUR DISTRICT, FEMALE,1789148,65639,479839,747589,138944,131964,62630,39387,100575,22581
BAHAWALPUR DISTRICT, TRANSGENDER,326,65,,8,,3,,58,147,45
RAHIM YAR KHAN DISTRICT, MALE,2461780,626175,28698,1276861,4706,192527,32411,126989,130904,42509
RAHIM YAR KHAN DISTRICT, FEMALE,2345413,74549,590778,951256,190866,178392,84850,63285,180302,31135
RAHIM YAR KHAN DISTRICT, TRANSGENDER,569,111,,46,,9,,65,268,70
DERA GHAZI KHAN DISTRICT, MALE,1451327,308914,7464,702250,2562,176094,17122,76589,113336,46996
DERA GHAZI KHAN DISTRICT, FEMALE,1421127,32194,301759,499830,146437,160421,47037,29883,159774,43792
DERA GHAZI KHAN DISTRICT, TRANSGENDER,177,19,,8,,10,,37,83,20
RAJANPUR DISTRICT, MALE,1028164,244829,5615,546884,2037,87352,9046,48804,58163,25434
RAJANPUR DISTRICT, FEMALE,967668,17372,241544,403999,75627,79741,29777,20936,76496,22176
RAJANPUR DISTRICT, TRANSGENDER,207,29,,36,,6,,32,89,15
LAYYAH DISTRICT, MALE,924837,257862,6842,500776,1120,64980,10328,36833,34549,11547
LAYYAH DISTRICT, FEMALE,899016,24041,244449,395842,65737,61674,29461,19735,51354,6723
LAYYAH DISTRICT, TRANSGENDER,142,39,,21,,2,,15,50,15
MUZAFFARGARH DISTRICT, MALE,2223085,598908,20296,1224509,3343,152947,20506,76215,87789,38572
MUZAFFARGARH DISTRICT, FEMALE,2105145,60390,581636,938392,143309,141303,63456,38029,113857,24773
MUZAFFARGARH DISTRICT, TRANSGENDER,319,43,,25,,2,,55,148,46
MULTAN DISTRICT, MALE,2435195,663343,35499,1243308,5110,176294,28965,112427,113812,56437
MULTAN DISTRICT, FEMALE,2310408,95856,614666,937129,173438,164677,81031,58003,157383,28225
MULTAN DISTRICT, TRANSGENDER,563,67,,56,,12,,72,278,78
KHANEWAL DISTRICT, MALE,1482668,410906,16544,770188,2390,109496,17460,68763,70183,16738
KHANEWAL DISTRICT, FEMALE,1437272,55261,377986,590695,109853,102812,51055,37280,100793,11537
KHANEWAL DISTRICT, TRANSGENDER,293,53,,27,,3,,47,136,27
LODHRAN DISTRICT, MALE,861394,226218,13606,453349,1358,71972,11523,35556,39245,8567
LODHRAN DISTRICT, FEMALE,838156,36472,210849,341085,70139,66521,31026,19521,56411,6132
LODHRAN DISTRICT, TRANSGENDER,143,34,,13,,2,,18,56,20
VEHARI DISTRICT, MALE,1463796,399486,15162,753489,2716,132316,17979,60993,65151,16504
VEHARI DISTRICT, FEMALE,1437989,59636,362483,572516,129236,124565,51350,34497,94339,9367
VEHARI DISTRICT, TRANSGENDER,296,81,,23,,8,,38,89,57
JACOBABAD DISTRICT, MALE,514786,161260,3805,299420,418,10548,2120,14590,13836,8789
JACOBABAD DISTRICT, FEMALE,492061,15224,161626,249622,11399,9545,11135,8227,17432,7851
JACOBABAD DISTRICT, TRANSGENDER,162,16,,15,,1,,11,104,15
KASHMOR DISTRICT, MALE,564663,171457,4447,322105,469,14448,2717,17176,19531,12313
KASHMOR DISTRICT, FEMALE,525558,11701,177902,254413,16437,12696,11180,7409,23220,10600
KASHMOR DISTRICT, TRANSGENDER,115,8,,6,,,,8,84,9
KAMBAR SHAHDAD KOT DISTRICT, MALE,680567,197054,6882,394405,578,20594,3630,20158,25647,11619
KAMBAR SHAHDAD KOT DISTRICT, FEMALE,657290,21167,198738,331680,19894,18979,15790,11974,29208,9860
KAMBAR SHAHDAD KOT DISTRICT, TRANSGENDER,178,14,,11,,2,,17,125,9
LARKANA DISTRICT, MALE,775934,233682,8554,439949,822,23134,3961,27833,23755,14244
LARKANA DISTRICT, FEMALE,745530,25850,225933,371444,22938,20984,20270,18163,31108,8840
LARKANA DISTRICT, TRANSGENDER,322,18,,17,,1,,34,242,10
SHIKARPUR DISTRICT, MALE,635558,185340,5002,369068,531,16027,2708,19280,20949,16653
SHIKARPUR DISTRICT, FEMALE,598130,17182,187314,299730,16333,14624,14235,11359,22758,14595
SHIKARPUR DISTRICT, TRANSGENDER,72,6,,3,,,,8,53,2
GHOTKI DISTRICT, MALE,850272,262459,7110,484382,607,19603,3607,23097,22172,27235
GHOTKI DISTRICT, FEMALE,798271,25669,259818,395808,21181,17703,19185,12627,24577,21703
GHOTKI DISTRICT, TRANSGENDER,165,11,,9,,1,,22,107,15
KHAIRPUR DISTRICT, MALE,1240254,365085,12302,704193,1230,41124,6713,43160,42227,24220
KHAIRPUR DISTRICT, FEMALE,1164826,40828,351144,568291,41610,37190,32333,26074,49566,17790
KHAIRPUR DISTRICT, TRANSGENDER,110,30,,3,,1,,19,32,25
SUKKUR DISTRICT, MALE,776332,236304,6375,433143,743,19285,3710,24661,24438,27673
SUKKUR DISTRICT, FEMALE,711882,20857,231350,352208,20230,17481,17587,13626,26230,12313
SUKKUR DISTRICT, TRANSGENDER,158,23,,13,,2,,21,87,12
BADIN DISTRICT, MALE,931177,327367,7971,531606,749,14945,3065,17869,15894,11711
BADIN DISTRICT, FEMALE,873589,30214,317548,438921,18263,13385,15524,10879,18788,10067
BADIN DISTRICT, TRANSGENDER,192,20,,19,,,,19,114,20
DADU DISTRICT, MALE,795700,259596,4786,466626,527,14332,2693,19286,15750,12104
DADU DISTRICT, FEMALE,754480,24892,252987,391715,14382,12810,15631,12742,19678,9643
DADU DISTRICT, TRANSGENDER,210,15,,19,,2,,15,153,6
HYDERABAD DISTRICT, MALE,1145216,390160,7094,600958,1563,29026,5173,39028,32620,39594
HYDERABAD DISTRICT, FEMALE,1054407,40777,360618,497267,28509,26946,25114,25635,34734,14807
HYDERABAD DISTRICT, TRANSGENDER,305,67,,29,,3,,42,119,45
JAMSHORO DISTRICT, MALE,523069,161800,5083,276767,493,12927,2659,18522,17992,26826
JAMSHORO DISTRICT, FEMALE,470702,16968,152806,223581,12953,11684,11274,10218,20689,10529
JAMSHORO DISTRICT, TRANSGENDER,137,22,,7,,4,,20,71,13
MATIARI DISTRICT, MALE,396922,130443,3784,220164,322,8341,1983,14604,11135,6146
MATIARI DISTRICT, FEMALE,373041,12007,123409,182123,9980,7522,10275,10113,13890,3722
MATIARI DISTRICT, TRANSGENDER,77,5,,11,,,,6,47,8
SUJAWAL DISTRICT, MALE,404810,139003,4153,232119,372,5723,1335,8835,7704,5566
SUJAWAL DISTRICT, FEMALE,374142,13042,132093,190490,6823,5221,7443,6034,8402,4594
SUJAWAL DISTRICT, TRANSGENDER,110,5,,6,,,,6,83,10
TANDO ALLAHYAR DISTRICT, MALE,432697,150707,3149,247213,263,5951,1406,9587,7174,7247
TANDO ALLAHYAR DISTRICT, FEMALE,405709,13533,145758,205233,7346,5373,8255,6523,8165,5523
TANDO ALLAHYAR DISTRICT, TRANSGENDER,121,12,,6,,1,,12,73,17
TANDO MUHAMMAD KHAN DISTRICT, MALE,349122,118861,4204,197157,352,6956,1549,9061,7534,3448
TANDO MUHAMMAD KHAN DISTRICT, FEMALE,327888,12173,113669,162233,8556,6080,7535,5882,8806,2954
TANDO MUHAMMAD KHAN DISTRICT, TRANSGENDER,88,6,,7,,2,,10,59,4
THATTA DISTRICT, MALE,510143,164064,6422,285954,592,10221,2589,14839,15372,10090
THATTA DISTRICT, FEMALE,471958,16671,156860,235694,10530,9295,10622,9502,14511,8273
THATTA DISTRICT, TRANSGENDER,37,18,,,,,,4,5,10
KARACHI CENTRAL DISTRICT, MALE,1542028,466746,11684,771699,4989,104891,8854,62393,63247,47525
KARACHI CENTRAL DISTRICT, FEMALE,1428860,67982,421472,571973,109370,98460,38179,37213,66990,17221
KARACHI CENTRAL DISTRICT, TRANSGENDER,494,126,,28,,10,,47,189,94
KARACHI EAST DISTRICT, MALE,1506788,439833,13702,716561,5047,99134,11751,67493,82129,71138
