district,localities,gender,age_group,working,seeking_work,students,housekeeping,other
LAKKI MARWAT DISTRICT,Rural,Male,45-49,41,6,,27,32
LAKKI MARWAT DISTRICT,Rural,Male,50-54,35,2,,17,36
LAKKI MARWAT DISTRICT,Rural,Male,55-59,30,3,,27,34
LAKKI MARWAT DISTRICT,Rural,Male,60-64,27,2,,14,43
LAKKI MARWAT DISTRICT,Rural,Male,65-69,14,2,,22,31
LAKKI MARWAT DISTRICT,Rural,Male,70-74,13,2,,15,25
LAKKI MARWAT DISTRICT,Rural,Male,75 AND ABOVE,16,,,13,29
LAKKI MARWAT DISTRICT,Rural,Female,10-14,15,2,26,83,81
LAKKI MARWAT DISTRICT,Rural,Female,15-19,21,8,19,104,66
LAKKI MARWAT DISTRICT,Rural,Female,20-24,9,6,7,87,54
LAKKI MARWAT DISTRICT,Rural,Female,25-29,7,2,,63,39
LAKKI MARWAT DISTRICT,Rural,Female,30-34,6,,,46,27
LAKKI MARWAT DISTRICT,Rural,Female,35-39,,1,,42,20
LAKKI MARWAT DISTRICT,Rural,Female,40-44,,,,28,17
LAKKI MARWAT DISTRICT,Rural,Female,45-49,1,,,18,7
LAKKI MARWAT DISTRICT,Rural,Female,50-54,2,,,27,16
LAKKI MARWAT DISTRICT,Rural,Female,55-59,3,,,27,7
LAKKI MARWAT DISTRICT,Rural,Female,60-64,,,,22,19
LAKKI MARWAT DISTRICT,Rural,Female,65-69,1,,,20,10
LAKKI MARWAT DISTRICT,Rural,Female,70-74,2,,,10,13
LAKKI MARWAT DISTRICT,Rural,Female,75 AND ABOVE,2,1,,26,21
LAKKI MARWAT DISTRICT,Rural,Transgender,10-14,,,,,
LAKKI MARWAT DISTRICT,Rural,Transgender,15-19,,,,,1
LAKKI MARWAT DISTRICT,Rural,Transgender,20-24,,,,,
LAKKI MARWAT DISTRICT,Rural,Transgender,25-29,,,,,
LAKKI MARWAT DISTRICT,Rural,Transgender,30-34,,,,,
LAKKI MARWAT DISTRICT,Rural,Transgender,35-39,,,,,
LAKKI MARWAT DISTRICT,Rural,Transgender,40-44,,,,,
LAKKI MARWAT DISTRICT,Rural,Transgender,45-49,,,,,
LAKKI MARWAT DISTRICT,Rural,Transgender,50-54,,,,,
LAKKI MARWAT DISTRICT,Rural,Transgender,55-59,,,,,
LAKKI MARWAT DISTRICT,Rural,Transgender,60-64,,,,,
LAKKI MARWAT DISTRICT,Rural,Transgender,65-69,,,,,
LAKKI MARWAT DISTRICT,Rural,Transgender,70-74,,,,,
LAKKI MARWAT DISTRICT,Rural,Transgender,75 AND ABOVE,,,,,
LAKKI MARWAT DISTRICT,Urban,Overall,10-14,1,1,23,8,39
LAKKI MARWAT DISTRICT,Urban,Overall,15-19,3,2,8,9,40
LAKKI MARWAT DISTRICT,Urban,Overall,20-24,10,5,3,4,38
LAKKI MARWAT DISTRICT,Urban,Overall,25-29,8,4,4,11,20
LAKKI MARWAT DISTRICT,Urban,Overall,30-34,7,1,1,6,10
LAKKI MARWAT DISTRICT,Urban,Overall,35-39,6,1,1,4,8
LAKKI MARWAT DISTRICT,Urban,Overall,40-44,6,1,,3,8
LAKKI MARWAT DISTRICT,Urban,Overall,45-49,7,1,,1,9
LAKKI MARWAT DISTRICT,Urban,Overall,50-54,2,,,3,8
LAKKI MARWAT DISTRICT,Urban,Overall,55-59,3,2,,6,7
LAKKI MARWAT DISTRICT,Urban,Overall,60-64,4,,,4,10
LAKKI MARWAT DISTRICT,Urban,Overall,65-69,4,,,2,6
LAKKI MARWAT DISTRICT,Urban,Overall,70-74,,,,,5
LAKKI MARWAT DISTRICT,Urban,Overall,75 AND ABOVE,,,,2,5
LAKKI MARWAT DISTRICT,Urban,Male,10-14,1,1,16,2,23
LAKKI MARWAT DISTRICT,Urban,Male,15-19,2,2,5,1,27
LAKKI MARWAT DISTRICT,Urban,Male,20-24,10,3,2,,34
LAKKI MARWAT DISTRICT,Urban,Male,25-29,7,4,3,2,12
LAKKI MARWAT DISTRICT,Urban,Male,30-34,7,1,1,1,9
LAKKI MARWAT DISTRICT,Urban,Male,35-39,6,1,,1,7
LAKKI MARWAT DISTRICT,Urban,Male,40-44,6,1,,,7
LAKKI MARWAT DISTRICT,Urban,Male,45-49,7,1,,1,7
LAKKI MARWAT DISTRICT,Urban,Male,50-54,2,,,1,7
LAKKI MARWAT DISTRICT,Urban,Male,55-59,3,2,,1,7
LAKKI MARWAT DISTRICT,Urban,Male,60-64,4,,,,6
LAKKI MARWAT DISTRICT,Urban,Male,65-69,4,,,1,5
LAKKI MARWAT DISTRICT,Urban,Male,70-74,,,,,4
LAKKI MARWAT DISTRICT,Urban,Male,75 AND ABOVE,,,,1,4
LAKKI MARWAT DISTRICT,Urban,Female,10-14,,,7,6,16
LAKKI MARWAT DISTRICT,Urban,Female,15-19,1,,3,8,13
LAKKI MARWAT DISTRICT,Urban,Female,20-24,,2,1,4,4
LAKKI MARWAT DISTRICT,Urban,Female,25-29,1,,1,9,8
LAKKI MARWAT DISTRICT,Urban,Female,30-34,,,,5,1
LAKKI MARWAT DISTRICT,Urban,Female,35-39,,,1,3,1
LAKKI MARWAT DISTRICT,Urban,Female,40-44,,,,3,1
LAKKI MARWAT DISTRICT,Urban,Female,45-49,,,,,2
LAKKI MARWAT DISTRICT,Urban,Female,50-54,,,,2,1
LAKKI MARWAT DISTRICT,Urban,Female,55-59,,,,5,
LAKKI MARWAT DISTRICT,Urban,Female,60-64,,,,4,4
LAKKI MARWAT DISTRICT,Urban,Female,65-69,,,,1,1
LAKKI MARWAT DISTRICT,Urban,Female,70-74,,,,,1
LAKKI MARWAT DISTRICT,Urban,Female,75 AND ABOVE,,,,1,1
LAKKI MARWAT DISTRICT,Urban,Transgender,10-14,,,,,
LAKKI MARWAT DISTRICT,Urban,Transgender,15-19,,,,,
LAKKI MARWAT DISTRICT,Urban,Transgender,20-24,,,,,
LAKKI MARWAT DISTRICT,Urban,Transgender,25-29,,,,,
LAKKI MARWAT DISTRICT,Urban,Transgender,30-34,,,,,
LAKKI MARWAT DISTRICT,Urban,Transgender,35-39,,,,,
LAKKI MARWAT DISTRICT,Urban,Transgender,40-44,,,,,
LAKKI MARWAT DISTRICT,Urban,Transgender,45-49,,,,,
LAKKI MARWAT DISTRICT,Urban,Transgender,50-54,,,,,
