district,tehsil,hh_anysource,radio,tv,newspaper,telephone,mobile,computerinternet
LAHORE DISTRICT,LAHORE CITY TEHSIL,570852,40827,523152,54188,71727,564364,143115
LAHORE DISTRICT,MODEL TOWN TEHSIL,425272,32812,379466,53769,62110,420622,130610
LAHORE DISTRICT,RAIWIND TEHSIL,128475,6902,101849,9585,9411,126619,23966
LAHORE DISTRICT,SHALIMAR TEHSIL,352706,36042,324060,26064,19872,348727,85466
KASUR DISTRICT,CHUNIAN TEHSIL,121084,2035,58851,2736,1300,119835,6998
KASUR DISTRICT,KASUR TEHSIL,193537,6193,123691,4529,3885,190705,13482
KASUR DISTRICT,KOT RADHA KISHAN TEHSIL,51409,1232,28366,829,781,50868,2857
KASUR DISTRICT,PATTOKI TEHSIL,136563,5699,88109,2474,1656,134563,8113
NANKANA SAHIB DISTRICT,NANKANA SAHIB TEHSIL,134772,2018,91771,3784,1832,132570,8040
NANKANA SAHIB DISTRICT,SANGLA HILL TEHSIL,34818,1581,28160,629,955,34470,3533
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,38077,951,29609,2290,986,37594,4051
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,117395,3360,101059,2361,2291,115303,11199
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,92620,3000,78274,1925,1573,91117,7331
SHEIKHUPURA DISTRICT,SAFDARABAD TEHSIL,40279,390,30101,550,570,39720,2241
SHEIKHUPURA DISTRICT,SHARAK PUR TEHSIL,28791,1129,22262,585,430,28408,1860
SHEIKHUPURA DISTRICT,SHEIKHUPURA TEHSIL,228648,15197,186601,6904,6011,225458,23777
FAISALABAD DISTRICT,CHAK JHUMRA TEHSIL,49466,2396,39002,3717,1817,48748,5940
FAISALABAD DISTRICT,FAISALABAD CITY TEHSIL,500988,32200,449393,55170,49440,494774,103692
FAISALABAD DISTRICT,FAISALABAD SADAR TEHSIL,216609,6985,171696,13412,7961,212734,23178
FAISALABAD DISTRICT,JARANWALA TEHSIL,216534,4740,155663,9749,4720,212957,19483
FAISALABAD DISTRICT,SAMMUNDRI TEHSIL,95801,1859,75477,3045,2775,94563,9384
FAISALABAD DISTRICT,TANDLIAN WALA TEHSIL,98626,1011,61599,3072,1332,96247,5122
CHINIOT DISTRICT,BHAWANA TEHSIL,52009,512,22058,715,278,51093,1975
CHINIOT DISTRICT,CHINIOT TEHSIL,79837,1436,51855,5927,1769,78238,7452
CHINIOT DISTRICT,LALIAN TEHSIL,68431,872,39328,4973,3482,67513,9127
JHANG DISTRICT,18-HAZARI TEHSIL,43644,1081,13118,1403,442,43190,1529
JHANG DISTRICT,AHMADPUR SIAL TEHSIL,59359,1311,16843,680,519,58893,2022
JHANG DISTRICT,JHANG TEHSIL,214006,4927,111141,12107,5860,210912,17422
JHANG DISTRICT,SHORKOT TEHSIL,77472,1242,28353,2285,1514,77004,5363
TOBA TEK SINGH DISTRICT,GOJRA TEHSIL,97575,1193,73577,2780,3826,96316,9996
TOBA TEK SINGH DISTRICT,KAMALIA TEHSIL,53388,1262,38959,5005,1402,52245,4785
TOBA TEK SINGH DISTRICT,PIRMAHAL TEHSIL,62677,1241,40887,2287,2292,61950,5517
TOBA TEK SINGH DISTRICT,TOBA TEK SINGH TEHSIL,113432,3512,81017,9967,5703,111933,14385
SAHIWAL DISTRICT,CHICHAWATNI TEHSIL,153151,2751,105792,6072,2749,150854,12098
SAHIWAL DISTRICT,SAHIWAL TEHSIL,221337,10117,174757,21575,9885,216919,28046
OKARA DISTRICT,DEPALPUR TEHSIL,210491,2530,127415,9587,2420,206928,13066
OKARA DISTRICT,OKARA TEHSIL,177011,4568,133305,11276,7731,173752,18072
OKARA DISTRICT,RENALA KHURD TEHSIL,74418,1084,49312,2928,1145,73334,5660
PAKPATTAN DISTRICT,ARIF WALA TEHSIL,135832,5859,91994,9990,2700,132983,10270
PAKPATTAN DISTRICT,PAKPATTAN TEHSIL,150163,8027,99605,11912,2663,146576,12835
BAHAWALNAGAR DISTRICT,BAHAWALNAGAR TEHSIL,122641,1430,58327,2090,2277,121091,7379
BAHAWALNAGAR DISTRICT,CHISHTIAN TEHSIL,106880,1452,66631,1809,1658,105471,7492
BAHAWALNAGAR DISTRICT,FORT ABBAS TEHSIL,64606,1375,28859,831,546,64216,3625
BAHAWALNAGAR DISTRICT,HAROONABAD TEHSIL,82825,2006,51374,1454,1611,82125,6891
BAHAWALNAGAR DISTRICT,MINCHINABAD TEHSIL,75802,855,30223,2623,458,74829,2742
BAHAWALPUR DISTRICT,AHMADPUR EAST TEHSIL,148572,3875,55715,5264,2011,146678,6647
BAHAWALPUR DISTRICT,BAHAWALPUR CITY TEHSIL,108390,3736,80426,6802,7007,106691,20386
BAHAWALPUR DISTRICT,BAHAWALPUR SADDAR TEHSIL,82821,2268,41471,3093,1615,81561,6213
BAHAWALPUR DISTRICT,HASILPUR TEHSIL,70542,1594,41666,3745,1297,69592,6064
BAHAWALPUR DISTRICT,KHAIRPUR TAMEWALI TEHSIL,39178,909,16288,576,320,38656,1479
BAHAWALPUR DISTRICT,YAZMAN TEHSIL,90829,3483,34237,2174,704,90183,4785
RAHIM YAR KHAN DISTRICT,KHANPUR TEHSIL,133056,2959,74831,3330,2067,131267,9087
RAHIM YAR KHAN DISTRICT,LIAQUATPUR TEHSIL,138149,2057,59469,2345,1097,136539,5646
RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN TEHSIL,219857,5166,138177,7192,5686,216491,20494
RAHIM YAR KHAN DISTRICT,SADIQABAD TEHSIL,172184,2672,99662,3964,3259,169866,13060
DERA GHAZI KHAN DISTRICT,DE-EXCLUDED AREA D.G KHAN TEHSIL,26650,6449,1482,325,155,26329,378
DERA GHAZI KHAN DISTRICT,DERA GHAZI KHAN TEHSIL,130951,9266,64508,11802,5136,129681,14631
DERA GHAZI KHAN DISTRICT,KOT CHHUTTA TEHSIL,75073,4490,23958,1708,493,74215,2252
DERA GHAZI KHAN DISTRICT,TAUNSA TEHSIL,85900,3429,27443,3072,638,84853,3995
RAJANPUR DISTRICT,DE-EXCLUDED AREA RAJANPUR,4058,55,19,5,4,4043,22
RAJANPUR DISTRICT,JAMPUR TEHSIL,98016,5714,31526,2862,632,97015,4136
RAJANPUR DISTRICT,RAJANPUR TEHSIL,82130,1991,32458,1921,668,80957,4223
RAJANPUR DISTRICT,ROJHAN TEHSIL,47351,1011,9428,1167,568,46618,825
LAYYAH DISTRICT,CHOUBARA TEHSIL,34891,1031,7971,331,118,34692,887
LAYYAH DISTRICT,KAROR LAL ESAN TEHSIL,85449,3120,40914,6247,1063,84654,6402
LAYYAH DISTRICT,LAYYAH TEHSIL,146719,7018,72025,7223,2344,144828,9445
MUZAFFARGARH DISTRICT,ALIPUR TEHSIL,85216,2964,35733,4089,1086,83643,3052
MUZAFFARGARH DISTRICT,JATOI TEHSIL,102111,5010,39006,7876,871,100269,3423
