district,hhsize,room_in_house_1,room_in_house_2,room_in_house_3,room_in_house_4,room_in_house_5,room_in_house_6,room_in_house_7,room_in_house_8,room_in_house_9
ABBOTTABAD DISTRICT,1 PERSON,2491,1497,638,248,87,67,31,18,35
ABBOTTABAD DISTRICT,2 PERSONS,5458,5843,1925,786,245,134,73,45,64
ABBOTTABAD DISTRICT,3 PERSONS,5685,8381,3556,1404,432,235,79,73,79
ABBOTTABAD DISTRICT,4 PERSONS,6393,11743,6045,2544,833,439,184,113,105
ABBOTTABAD DISTRICT,5 PERSONS,5906,14121,8504,3981,1265,646,224,162,155
ABBOTTABAD DISTRICT,6 PERSONS,4468,13086,8822,4380,1397,802,288,195,197
ABBOTTABAD DISTRICT,7 PERSONS,2588,9186,6965,3627,1285,687,288,186,167
ABBOTTABAD DISTRICT,8 PERSONS,1314,5759,4954,2908,1020,667,261,154,156
ABBOTTABAD DISTRICT,9 PERSONS,633,3179,3189,2123,860,498,188,152,151
ABBOTTABAD DISTRICT,10 PERSONS AND ABOVE,734,4134,5801,5421,2955,2391,981,886,1078
ATTOCK DISTRICT,1 PERSON,2977,2826,1419,661,242,108,54,60,67
ATTOCK DISTRICT,2 PERSONS,4680,8110,4238,1883,663,340,141,72,108
ATTOCK DISTRICT,3 PERSONS,4791,11144,6684,2896,1044,483,188,106,126
ATTOCK DISTRICT,4 PERSONS,5788,16197,10951,5064,1782,877,339,184,184
ATTOCK DISTRICT,5 PERSONS,5807,19407,14747,6943,2570,1227,513,263,305
ATTOCK DISTRICT,6 PERSONS,4397,16362,13722,7308,2791,1502,546,262,330
ATTOCK DISTRICT,7 PERSONS,2450,10117,10089,6017,2518,1273,573,262,288
ATTOCK DISTRICT,8 PERSONS,1257,5870,6479,4391,1895,1130,400,267,255
ATTOCK DISTRICT,9 PERSONS,637,3223,4219,3166,1483,894,355,215,231
ATTOCK DISTRICT,10 PERSONS AND ABOVE,864,4698,8119,8798,5028,3876,1706,1347,1812
AWARAN DISTRICT,1 PERSON,146,76,19,9,5,,1,,1
AWARAN DISTRICT,2 PERSONS,618,714,157,59,11,2,2,1,2
AWARAN DISTRICT,3 PERSONS,530,901,275,96,22,5,12,3,3
AWARAN DISTRICT,4 PERSONS,504,1107,394,167,24,14,10,6,6
AWARAN DISTRICT,5 PERSONS,390,1064,508,200,62,16,16,6,5
AWARAN DISTRICT,6 PERSONS,317,1016,502,251,69,21,14,2,12
AWARAN DISTRICT,7 PERSONS,210,865,515,269,93,46,23,13,8
AWARAN DISTRICT,8 PERSONS,171,551,433,252,93,39,16,7,12
AWARAN DISTRICT,9 PERSONS,105,408,307,194,82,45,23,8,12
AWARAN DISTRICT,10 PERSONS AND ABOVE,137,519,564,570,308,264,156,112,303
BADIN DISTRICT,1 PERSON,11380,669,237,73,50,11,53,10,20
BADIN DISTRICT,2 PERSONS,48544,3394,817,256,176,37,290,41,115
BADIN DISTRICT,3 PERSONS,44183,4326,900,285,181,44,251,28,123
BADIN DISTRICT,4 PERSONS,44089,5550,1159,341,177,36,283,30,89
BADIN DISTRICT,5 PERSONS,41441,6405,1391,406,202,43,241,34,101
BADIN DISTRICT,6 PERSONS,37196,6596,1440,421,228,49,258,25,88
BADIN DISTRICT,7 PERSONS,27212,5777,1351,345,178,61,161,28,81
BADIN DISTRICT,8 PERSONS,18066,4431,1074,303,124,35,106,21,52
BADIN DISTRICT,9 PERSONS,10540,3258,841,241,96,31,86,9,34
BADIN DISTRICT,10 PERSONS AND ABOVE,10471,4647,1741,656,228,87,132,27,58
BAHAWALNAGAR DISTRICT,1 PERSON,4815,2015,849,436,172,94,43,21,35
BAHAWALNAGAR DISTRICT,2 PERSONS,14902,8813,3025,1299,501,215,153,72,81
BAHAWALNAGAR DISTRICT,3 PERSONS,18215,13848,5443,2372,850,383,182,99,123
BAHAWALNAGAR DISTRICT,4 PERSONS,21993,20999,8878,4250,1491,698,320,135,177
BAHAWALNAGAR DISTRICT,5 PERSONS,23821,27931,13375,6293,2507,1116,564,266,263
BAHAWALNAGAR DISTRICT,6 PERSONS,21109,29447,14509,7258,2760,1314,609,288,303
BAHAWALNAGAR DISTRICT,7 PERSONS,14820,24188,12425,6076,2503,1183,571,270,314
BAHAWALNAGAR DISTRICT,8 PERSONS,8845,17045,9530,4864,1958,937,459,246,280
BAHAWALNAGAR DISTRICT,9 PERSONS,4708,10486,6676,3516,1487,858,374,204,192
BAHAWALNAGAR DISTRICT,10 PERSONS AND ABOVE,4739,14006,13065,9487,4852,3079,1441,1014,1203
BAHAWALPUR DISTRICT,1 PERSON,7279,2533,977,506,180,104,75,36,41
BAHAWALPUR DISTRICT,2 PERSONS,22693,10160,3417,1517,571,276,179,70,114
BAHAWALPUR DISTRICT,3 PERSONS,25502,15025,5761,2470,950,449,260,83,164
BAHAWALPUR DISTRICT,4 PERSONS,30313,23425,9453,4772,1773,823,468,196,249
BAHAWALPUR DISTRICT,5 PERSONS,31989,30318,14019,6926,2849,1321,647,281,368
BAHAWALPUR DISTRICT,6 PERSONS,28602,32262,15045,7644,3066,1444,730,325,405
BAHAWALPUR DISTRICT,7 PERSONS,20060,26312,12839,6404,2631,1285,640,338,352
BAHAWALPUR DISTRICT,8 PERSONS,12242,18815,9748,5099,2097,1118,511,281,317
BAHAWALPUR DISTRICT,9 PERSONS,6789,12035,7127,3876,1641,905,393,234,266
BAHAWALPUR DISTRICT,10 PERSONS AND ABOVE,7646,19212,17003,12194,6335,4071,1928,1414,1710
BAJAUR AGENCY,1 PERSON,236,129,96,81,44,19,14,9,11
BAJAUR AGENCY,2 PERSONS,2036,1309,433,261,81,61,33,14,17
BAJAUR AGENCY,3 PERSONS,2369,1959,749,375,118,59,35,23,25
BAJAUR AGENCY,4 PERSONS,2719,2901,1115,557,166,87,51,26,35
BAJAUR AGENCY,5 PERSONS,2736,3820,1778,869,289,125,65,39,58
BAJAUR AGENCY,6 PERSONS,2653,4669,2653,1279,409,201,98,54,83
BAJAUR AGENCY,7 PERSONS,2369,5087,3300,1703,584,258,128,76,98
BAJAUR AGENCY,8 PERSONS,1633,4582,3602,2094,750,363,138,85,120
BAJAUR AGENCY,9 PERSONS,981,3433,3432,2228,852,437,179,90,119
BAJAUR AGENCY,10 PERSONS AND ABOVE,1421,6133,9551,9968,6103,4232,1930,1272,2025
BANNU DISTRICT,1 PERSON,601,289,152,84,43,22,13,7,29
BANNU DISTRICT,2 PERSONS,1634,1069,438,168,73,48,23,13,23
BANNU DISTRICT,3 PERSONS,1763,1741,744,300,121,59,32,17,32
BANNU DISTRICT,4 PERSONS,2034,2755,1260,554,197,104,74,19,42
BANNU DISTRICT,5 PERSONS,2263,3858,2161,948,354,163,99,40,58
BANNU DISTRICT,6 PERSONS,2204,4813,3026,1400,533,261,126,59,76
BANNU DISTRICT,7 PERSONS,1743,4819,3738,1733,724,316,179,69,107
BANNU DISTRICT,8 PERSONS,1176,3989,3581,1980,794,376,175,92,94
BANNU DISTRICT,9 PERSONS,664,2843,3067,1855,832,371,185,88,88
BANNU DISTRICT,10 PERSONS AND ABOVE,1002,4654,9409,10077,6839,4737,2554,1706,2864
BARKHAN DISTRICT,1 PERSON,380,93,35,25,8,4,2,4,2
BARKHAN DISTRICT,2 PERSONS,1204,587,263,116,46,27,17,10,12
BARKHAN DISTRICT,3 PERSONS,1124,787,344,154,57,44,23,9,10
BARKHAN DISTRICT,4 PERSONS,1042,927,456,212,67,71,19,14,29
BARKHAN DISTRICT,5 PERSONS,1039,978,550,243,73,100,35,12,34
BARKHAN DISTRICT,6 PERSONS,765,916,625,270,88,105,25,17,39
BARKHAN DISTRICT,7 PERSONS,630,975,688,311,108,120,40,9,46
BARKHAN DISTRICT,8 PERSONS,402,751,557,306,108,101,38,16,50
BARKHAN DISTRICT,9 PERSONS,277,497,424,266,105,99,37,11,65
BARKHAN DISTRICT,10 PERSONS AND ABOVE,514,907,957,672,417,294,154,60,325
BATAGRAM DISTRICT,1 PERSON,406,162,46,21,7,4,1,4,3
BATAGRAM DISTRICT,2 PERSONS,2097,1798,374,104,28,28,11,5,9
BATAGRAM DISTRICT,3 PERSONS,2213,2524,629,204,72,36,18,8,10
BATAGRAM DISTRICT,4 PERSONS,2390,3366,981,366,103,46,23,10,15
BATAGRAM DISTRICT,5 PERSONS,2099,4208,1364,485,159,103,31,20,26
BATAGRAM DISTRICT,6 PERSONS,1740,4468,1608,692,217,145,29,33,26
BATAGRAM DISTRICT,7 PERSONS,1218,4053,1734,729,245,170,56,34,43
BATAGRAM DISTRICT,8 PERSONS,775,3401,1610,853,250,135,50,45,34
BATAGRAM DISTRICT,9 PERSONS,420,2253,1333,709,206,139,57,30,51
BATAGRAM DISTRICT,10 PERSONS AND ABOVE,491,3457,3196,2435,1102,875,306,311,426
BHAKKAR DISTRICT,1 PERSON,2569,1236,425,183,62,42,21,12,23
BHAKKAR DISTRICT,2 PERSONS,10803,7138,1869,695,234,109,73,20,47
BHAKKAR DISTRICT,3 PERSONS,11615,9683,3077,1140,392,184,111,41,53
BHAKKAR DISTRICT,4 PERSONS,12088,13922,5001,2014,696,313,147,64,102
BHAKKAR DISTRICT,5 PERSONS,11007,16332,6970,3032,1078,446,235,92,137
BHAKKAR DISTRICT,6 PERSONS,8945,16313,7649,3552,1201,554,269,146,195
BHAKKAR DISTRICT,7 PERSONS,5965,13089,7138,3326,1303,602,281,131,174
BHAKKAR DISTRICT,8 PERSONS,3656,9084,5643,2995,1138,561,236,126,165
BHAKKAR DISTRICT,9 PERSONS,1981,5728,4009,2379,947,486,217,99,145
BHAKKAR DISTRICT,10 PERSONS AND ABOVE,2242,7314,7389,6190,3239,2170,959,753,1100
BUNNER DISTRICT,1 PERSON,381,146,46,34,14,7,1,1,6
BUNNER DISTRICT,2 PERSONS,1429,718,208,110,34,35,17,9,14
BUNNER DISTRICT,3 PERSONS,1685,1205,359,149,54,34,23,10,17
BUNNER DISTRICT,4 PERSONS,2279,2108,705,300,83,62,35,11,24
BUNNER DISTRICT,5 PERSONS,2590,3175,1262,614,176,97,41,19,32
BUNNER DISTRICT,6 PERSONS,2751,4181,1795,848,297,122,73,55,52
BUNNER DISTRICT,7 PERSONS,2305,4219,2252,1092,370,207,84,47,68
BUNNER DISTRICT,8 PERSONS,1620,3863,2214,1125,352,211,89,50,56
BUNNER DISTRICT,9 PERSONS,965,2941,1942,1106,388,250,86,57,66
BUNNER DISTRICT,10 PERSONS AND ABOVE,1349,6609,8105,7570,4018,2957,1215,1003,1606
CHAGAI DISTRICT,1 PERSON,486,114,47,17,4,2,,1,
CHAGAI DISTRICT,2 PERSONS,1704,922,148,71,18,8,13,3,3
CHAGAI DISTRICT,3 PERSONS,1414,1171,334,101,25,7,11,4,6
CHAGAI DISTRICT,4 PERSONS,1216,1397,423,192,40,24,20,7,6
CHAGAI DISTRICT,5 PERSONS,992,1637,574,250,64,30,20,8,9
CHAGAI DISTRICT,6 PERSONS,760,1629,619,294,78,44,32,12,9
CHAGAI DISTRICT,7 PERSONS,607,1440,689,346,127,56,39,11,19
CHAGAI DISTRICT,8 PERSONS,395,1163,751,392,134,65,41,13,17
CHAGAI DISTRICT,9 PERSONS,242,863,647,367,158,83,52,15,15
CHAGAI DISTRICT,10 PERSONS AND ABOVE,454,1627,1680,1336,578,420,244,143,260
CHAKWAL DISTRICT,1 PERSON,2845,3427,1946,970,324,176,73,40,59
CHAKWAL DISTRICT,2 PERSONS,3878,8614,5475,2518,940,442,170,83,118
CHAKWAL DISTRICT,3 PERSONS,3998,10269,8018,3958,1391,677,253,143,135
CHAKWAL DISTRICT,4 PERSONS,4413,13703,11767,6170,2291,1033,418,215,223
CHAKWAL DISTRICT,5 PERSONS,4185,14776,13943,7649,2956,1375,587,292,264
CHAKWAL DISTRICT,6 PERSONS,2816,11600,12193,7452,2863,1464,569,337,289
CHAKWAL DISTRICT,7 PERSONS,1551,7116,8453,5759,2439,1249,543,314,293
CHAKWAL DISTRICT,8 PERSONS,791,3946,5080,3899,1841,1078,436,313,298
CHAKWAL DISTRICT,9 PERSONS,423,1997,2952,2591,1290,829,343,219,248
CHAKWAL DISTRICT,10 PERSONS AND ABOVE,521,2552,4805,5039,3227,2408,1167,892,1283
CHARSADDA  DISTRICT,1 PERSON,1455,495,228,162,63,36,16,10,19
CHARSADDA  DISTRICT,2 PERSONS,6464,2460,852,448,161,76,50,28,38
CHARSADDA  DISTRICT,3 PERSONS,8016,3973,1458,724,257,165,84,40,53
CHARSADDA  DISTRICT,4 PERSONS,9619,6581,2510,1156,392,178,136,45,64
CHARSADDA  DISTRICT,5 PERSONS,10548,9765,3856,1811,537,260,133,74,75
CHARSADDA  DISTRICT,6 PERSONS,9822,12114,5363,2299,755,346,173,71,99
CHARSADDA  DISTRICT,7 PERSONS,7169,11705,5603,2435,866,342,161,71,87
CHARSADDA  DISTRICT,8 PERSONS,4315,9162,5355,2328,751,313,152,67,86
CHARSADDA  DISTRICT,9 PERSONS,2177,5857,4241,2090,690,306,131,67,88
CHARSADDA  DISTRICT,10 PERSONS AND ABOVE,2392,8480,11623,10376,5320,3132,1278,770,805
CHINIOT DISTRICT,1 PERSON,2655,1390,556,258,106,58,24,12,17
CHINIOT DISTRICT,2 PERSONS,7299,4353,1530,646,281,115,75,31,36
CHINIOT DISTRICT,3 PERSONS,8423,6304,2561,1070,434,175,99,36,49
CHINIOT DISTRICT,4 PERSONS,10244,9649,4027,1778,649,266,182,64,79
CHINIOT DISTRICT,5 PERSONS,11082,12621,5800,2444,975,417,201,98,107
CHINIOT DISTRICT,6 PERSONS,9782,12956,6491,2879,1087,484,223,102,133
CHINIOT DISTRICT,7 PERSONS,6550,10476,5450,2482,983,412,184,88,85
CHINIOT DISTRICT,8 PERSONS,3708,7450,4184,2039,705,373,179,84,91
CHINIOT DISTRICT,9 PERSONS,1900,4665,3030,1581,639,304,144,60,92
CHINIOT DISTRICT,10 PERSONS AND ABOVE,2108,7013,6961,4953,2492,1515,691,424,556
CHITRAL DISTRICT,1 PERSON,292,179,108,64,30,20,4,5,8
CHITRAL DISTRICT,2 PERSONS,516,548,302,172,67,46,13,15,26
CHITRAL DISTRICT,3 PERSONS,546,895,681,375,172,85,35,27,39
CHITRAL DISTRICT,4 PERSONS,757,1615,1315,803,381,223,96,50,82
CHITRAL DISTRICT,5 PERSONS,849,2384,2208,1429,715,353,194,107,170
CHITRAL DISTRICT,6 PERSONS,853,2541,2450,1836,925,551,237,127,218
CHITRAL DISTRICT,7 PERSONS,654,2145,2089,1585,905,497,272,171,255
CHITRAL DISTRICT,8 PERSONS,435,1486,1667,1334,724,454,215,122,202
CHITRAL DISTRICT,9 PERSONS,283,1065,1173,938,627,382,208,117,199
CHITRAL DISTRICT,10 PERSONS AND ABOVE,359,1793,2525,2472,1725,1225,620,441,780
DADU DISTRICT,1 PERSON,7490,791,185,86,25,23,53,6,22
DADU DISTRICT,2 PERSONS,33000,4607,837,370,179,115,226,36,107
DADU DISTRICT,3 PERSONS,28827,5457,1042,441,156,112,224,43,90
DADU DISTRICT,4 PERSONS,28905,6874,1308,537,192,117,233,41,85
DADU DISTRICT,5 PERSONS,26051,7668,1584,603,242,124,251,39,81
DADU DISTRICT,6 PERSONS,23063,7917,1794,676,210,133,223,44,74
DADU DISTRICT,7 PERSONS,18660,7328,1824,654,189,106,169,38,87
DADU DISTRICT,8 PERSONS,13658,6236,1647,588,173,90,167,26,60
DADU DISTRICT,9 PERSONS,8954,4524,1378,488,144,85,102,24,43
DADU DISTRICT,10 PERSONS AND ABOVE,10233,7560,3095,1292,410,262,188,68,94
DERA BUGTI DISTRICT,1 PERSON,205,89,54,14,6,3,1,,2
DERA BUGTI DISTRICT,2 PERSONS,2573,852,287,87,12,45,34,2,8
DERA BUGTI DISTRICT,3 PERSONS,2484,1049,392,102,19,43,36,3,9
DERA BUGTI DISTRICT,4 PERSONS,2620,1552,605,155,28,48,59,,22
DERA BUGTI DISTRICT,5 PERSONS,2451,1720,625,217,35,64,57,3,23
DERA BUGTI DISTRICT,6 PERSONS,2245,1901,772,230,50,52,60,8,19
DERA BUGTI DISTRICT,7 PERSONS,1782,1898,862,265,66,59,42,3,15
DERA BUGTI DISTRICT,8 PERSONS,1423,1641,870,307,66,52,53,7,12
DERA BUGTI DISTRICT,9 PERSONS,1075,1250,830,300,67,48,56,25,24
DERA BUGTI DISTRICT,10 PERSONS AND ABOVE,1930,2648,2058,1049,274,231,143,80,91
DERA GHAZI KHAN DISTRICT,1 PERSON,2906,1185,456,207,97,41,28,11,19
DERA GHAZI KHAN DISTRICT,2 PERSONS,10670,4553,1396,499,225,82,82,24,28
DERA GHAZI KHAN DISTRICT,3 PERSONS,11152,6649,2323,828,265,118,95,28,48
DERA GHAZI KHAN DISTRICT,4 PERSONS,12287,10440,3773,1382,469,266,146,56,65
DERA GHAZI KHAN DISTRICT,5 PERSONS,12767,13972,5769,2180,747,362,166,77,87
DERA GHAZI KHAN DISTRICT,6 PERSONS,12162,16261,7116,2873,919,421,201,98,112
DERA GHAZI KHAN DISTRICT,7 PERSONS,9451,15509,7619,3150,1022,486,237,88,103
DERA GHAZI KHAN DISTRICT,8 PERSONS,6582,13229,7376,3363,1103,506,229,96,97
DERA GHAZI KHAN DISTRICT,9 PERSONS,3898,10023,6466,3071,1108,509,242,96,110
DERA GHAZI KHAN DISTRICT,10 PERSONS AND ABOVE,5532,20587,23966,19344,10235,6600,3012,2038,2930
DERA ISMAIL KHAN DISTRICT,1 PERSON,1943,608,257,131,64,24,15,10,18
DERA ISMAIL KHAN DISTRICT,2 PERSONS,5027,2480,749,319,117,60,44,20,31
DERA ISMAIL KHAN DISTRICT,3 PERSONS,5919,3915,1340,544,203,100,42,21,42
DERA ISMAIL KHAN DISTRICT,4 PERSONS,7102,6357,2424,993,357,160,82,41,57
DERA ISMAIL KHAN DISTRICT,5 PERSONS,7166,8565,3834,1646,627,256,134,57,70
DERA ISMAIL KHAN DISTRICT,6 PERSONS,6315,9607,4647,2203,772,360,169,79,87
DERA ISMAIL KHAN DISTRICT,7 PERSONS,4643,8863,5103,2393,908,387,172,78,105
DERA ISMAIL KHAN DISTRICT,8 PERSONS,3074,7319,4718,2432,956,427,190,88,118
DERA ISMAIL KHAN DISTRICT,9 PERSONS,1805,5295,4061,2336,905,455,160,106,103
DERA ISMAIL KHAN DISTRICT,10 PERSONS AND ABOVE,2288,9241,12367,11640,6715,4478,2183,1495,2086
FAISALABAD DISTRICT,1 PERSON,11533,5501,2409,1144,494,243,166,70,79
FAISALABAD DISTRICT,2 PERSONS,28530,19351,7754,3621,1412,682,380,183,198
FAISALABAD DISTRICT,3 PERSONS,37542,32253,14700,6578,2563,1231,586,267,301
FAISALABAD DISTRICT,4 PERSONS,48008,50894,25212,12304,4511,2250,1070,477,515
FAISALABAD DISTRICT,5 PERSONS,54928,70425,38523,18949,7392,3552,1684,739,795
FAISALABAD DISTRICT,6 PERSONS,48174,72706,41865,21573,8523,4260,1915,869,873
FAISALABAD DISTRICT,7 PERSONS,31413,55085,34434,18057,7440,3636,1739,807,799
FAISALABAD DISTRICT,8 PERSONS,17264,36400,24938,14002,5873,3098,1353,712,615
FAISALABAD DISTRICT,9 PERSONS,8359,21819,17284,10455,4655,2485,1119,579,562
FAISALABAD DISTRICT,10 PERSONS AND ABOVE,9919,33917,40299,34405,18705,11813,5652,3702,3803
FR BANNU,1 PERSON,11,4,3,2,2,1,,,
FR BANNU,2 PERSONS,47,72,15,20,20,1,1,,1
FR BANNU,3 PERSONS,32,65,35,32,28,2,,,2
FR BANNU,4 PERSONS,51,80,58,39,33,4,1,,2
FR BANNU,5 PERSONS,41,87,66,42,53,4,2,1,3
FR BANNU,6 PERSONS,48,82,99,70,57,11,5,4,2
FR BANNU,7 PERSONS,41,76,97,81,75,10,2,3,7
FR BANNU,8 PERSONS,31,58,90,87,70,11,9,3,3
FR BANNU,9 PERSONS,33,47,59,86,87,13,11,6,9
FR BANNU,10 PERSONS AND ABOVE,120,79,191,376,393,147,124,83,140
FR D.I KHAN,1 PERSON,33,11,5,3,2,,,,1
FR D.I KHAN,2 PERSONS,120,78,22,4,3,,4,,
FR D.I KHAN,3 PERSONS,120,118,38,13,4,3,,1,1
FR D.I KHAN,4 PERSONS,123,171,67,26,8,3,3,,
FR D.I KHAN,5 PERSONS,99,223,122,25,14,2,2,2,1
FR D.I KHAN,6 PERSONS,58,241,183,41,22,9,6,3,2
FR D.I KHAN,7 PERSONS,67,276,206,70,21,9,8,7,7
FR D.I KHAN,8 PERSONS,43,266,230,106,32,9,6,9,10
FR D.I KHAN,9 PERSONS,30,159,188,118,43,19,13,3,3
FR D.I KHAN,10 PERSONS AND ABOVE,81,376,652,602,470,264,128,93,155
FR KOHAT,1 PERSON,138,42,14,3,3,1,,,
FR KOHAT,2 PERSONS,497,150,45,15,2,6,2,1,2
FR KOHAT,3 PERSONS,532,219,79,33,9,2,9,,1
FR KOHAT,4 PERSONS,548,384,141,66,14,8,6,4,
FR KOHAT,5 PERSONS,577,578,246,97,40,9,12,2,5
FR KOHAT,6 PERSONS,492,700,302,128,53,23,14,6,10
FR KOHAT,7 PERSONS,305,624,399,169,60,25,18,12,5
FR KOHAT,8 PERSONS,174,482,342,163,55,31,15,2,2
FR KOHAT,9 PERSONS,81,343,289,195,60,27,15,4,13
FR KOHAT,10 PERSONS AND ABOVE,128,472,920,919,589,421,178,140,201
FR LAKKI MARWAT,1 PERSON,12,10,1,2,,,,1,
FR LAKKI MARWAT,2 PERSONS,34,93,26,13,5,1,1,,
FR LAKKI MARWAT,3 PERSONS,35,105,64,22,4,4,2,1,
FR LAKKI MARWAT,4 PERSONS,31,106,98,44,16,4,1,,
FR LAKKI MARWAT,5 PERSONS,16,98,128,67,17,9,1,,1
FR LAKKI MARWAT,6 PERSONS,15,68,149,71,30,17,7,1,
FR LAKKI MARWAT,7 PERSONS,11,54,134,74,39,20,5,2,1
FR LAKKI MARWAT,8 PERSONS,7,46,110,88,46,23,8,6,1
FR LAKKI MARWAT,9 PERSONS,3,22,94,77,51,20,14,14,2
FR LAKKI MARWAT,10 PERSONS AND ABOVE,15,48,121,195,161,126,72,66,97
FR PESHAWAR,1 PERSON,33,25,13,5,,,1,2,
FR PESHAWAR,2 PERSONS,91,97,32,21,10,5,5,3,2
FR PESHAWAR,3 PERSONS,71,125,53,19,19,7,3,4,
FR PESHAWAR,4 PERSONS,97,185,91,45,13,13,6,4,1
FR PESHAWAR,5 PERSONS,95,258,167,76,22,12,3,4,
FR PESHAWAR,6 PERSONS,85,290,213,98,52,13,12,3,3
FR PESHAWAR,7 PERSONS,78,244,256,113,47,25,10,4,2
FR PESHAWAR,8 PERSONS,41,203,212,131,36,30,10,2,5
FR PESHAWAR,9 PERSONS,26,151,210,117,46,19,5,1,3
FR PESHAWAR,10 PERSONS AND ABOVE,30,259,538,716,429,270,126,70,102
FR TANK,1 PERSON,22,7,1,1,1,1,,,
FR TANK,2 PERSONS,109,46,14,2,3,,1,,2
FR TANK,3 PERSONS,130,61,20,7,1,1,2,1,
FR TANK,4 PERSONS,114,106,43,14,4,3,1,,
FR TANK,5 PERSONS,136,188,69,15,4,1,,1,1
FR TANK,6 PERSONS,96,216,70,25,4,1,2,2,2
FR TANK,7 PERSONS,70,229,114,32,12,6,4,1,
FR TANK,8 PERSONS,48,216,135,37,12,4,4,3,2
FR TANK,9 PERSONS,24,126,115,48,11,5,8,2,2
FR TANK,10 PERSONS AND ABOVE,54,239,374,276,161,68,47,21,55
GHOTKI DISTRICT,1 PERSON,7114,556,188,54,26,14,33,3,7
GHOTKI DISTRICT,2 PERSONS,33553,3038,639,242,110,47,133,19,44
GHOTKI DISTRICT,3 PERSONS,30109,4000,851,285,117,38,135,15,36
GHOTKI DISTRICT,4 PERSONS,30151,5429,1252,390,116,49,129,11,33
GHOTKI DISTRICT,5 PERSONS,28393,6357,1692,523,169,80,176,20,38
GHOTKI DISTRICT,6 PERSONS,25382,6861,1863,614,196,90,162,21,32
GHOTKI DISTRICT,7 PERSONS,20821,6464,1612,581,164,55,136,14,27
GHOTKI DISTRICT,8 PERSONS,15702,5480,1393,502,148,63,106,14,25
GHOTKI DISTRICT,9 PERSONS,10109,4294,1134,410,116,56,80,12,27
GHOTKI DISTRICT,10 PERSONS AND ABOVE,13191,7982,3220,1334,443,235,185,63,108
GUJRANWALA DISTRICT,1 PERSON,4988,3257,1736,949,426,269,124,66,103
GUJRANWALA DISTRICT,2 PERSONS,10795,10679,5606,2880,1062,676,330,153,238
GUJRANWALA DISTRICT,3 PERSONS,14857,17795,10670,5325,2026,1269,559,290,331
GUJRANWALA DISTRICT,4 PERSONS,18943,28094,17945,9582,3694,2191,888,579,631
GUJRANWALA DISTRICT,5 PERSONS,22513,38967,27199,14794,5837,3444,1323,829,863
GUJRANWALA DISTRICT,6 PERSONS,21341,42046,30567,17253,6707,4093,1608,958,989
GUJRANWALA DISTRICT,7 PERSONS,14078,32468,25564,15018,5906,3607,1461,923,857
GUJRANWALA DISTRICT,8 PERSONS,7964,21597,18117,11408,4643,2933,1141,823,749
GUJRANWALA DISTRICT,9 PERSONS,3896,12604,12317,8330,3571,2425,969,663,612
GUJRANWALA DISTRICT,10 PERSONS AND ABOVE,4425,17895,25987,25083,12983,10500,4462,3789,4152
GUJRAT DISTRICT,1 PERSON,2881,3307,2061,1256,592,477,212,140,263
GUJRAT DISTRICT,2 PERSONS,5052,8634,5480,2960,1318,849,356,280,393
GUJRAT DISTRICT,3 PERSONS,6409,12717,9094,5199,2044,1208,467,387,466
GUJRAT DISTRICT,4 PERSONS,8249,18887,14207,8100,3278,1872,780,546,640
GUJRAT DISTRICT,5 PERSONS,9107,22646,18780,10834,4636,2593,1072,703,822
GUJRAT DISTRICT,6 PERSONS,7690,21672,18569,11205,4680,2828,1140,738,902
GUJRAT DISTRICT,7 PERSONS,4980,15404,14143,9238,3861,2381,996,674,762
GUJRAT DISTRICT,8 PERSONS,2791,9685,9527,6730,3039,1895,778,649,710
GUJRAT DISTRICT,9 PERSONS,1516,5559,5933,4840,2188,1598,600,478,579
GUJRAT DISTRICT,10 PERSONS AND ABOVE,1889,8155,11859,11936,6783,5462,2408,2116,3132
GWADAR DISTRICT,1 PERSON,588,88,40,12,4,2,4,,4
GWADAR DISTRICT,2 PERSONS,2345,474,131,41,12,4,7,2,12
GWADAR DISTRICT,3 PERSONS,2838,809,252,84,31,8,26,7,25
GWADAR DISTRICT,4 PERSONS,3189,1350,380,127,40,22,32,7,32
GWADAR DISTRICT,5 PERSONS,2844,1625,463,167,53,14,33,8,32
GWADAR DISTRICT,6 PERSONS,2286,1721,599,203,56,20,23,12,19
GWADAR DISTRICT,7 PERSONS,1623,1544,603,208,82,21,21,12,13
GWADAR DISTRICT,8 PERSONS,1060,1400,646,227,63,28,27,12,15
GWADAR DISTRICT,9 PERSONS,582,1014,543,238,66,41,23,9,9
GWADAR DISTRICT,10 PERSONS AND ABOVE,713,1683,1437,1001,424,258,115,87,139
HAFIZABAD DISTRICT,1 PERSON,1414,999,453,217,90,61,24,16,30
HAFIZABAD DISTRICT,2 PERSONS,3235,2674,1268,570,191,101,51,36,40
HAFIZABAD DISTRICT,3 PERSONS,4138,4318,2384,1064,369,198,77,48,62
HAFIZABAD DISTRICT,4 PERSONS,5317,6751,3960,2032,738,334,151,81,88
HAFIZABAD DISTRICT,5 PERSONS,6460,9655,6064,3019,1177,598,241,148,151
HAFIZABAD DISTRICT,6 PERSONS,5898,10220,6717,3485,1339,724,291,180,162
HAFIZABAD DISTRICT,7 PERSONS,3949,8058,5557,3095,1196,634,252,132,141
HAFIZABAD DISTRICT,8 PERSONS,2314,5390,4044,2390,1019,561,198,147,119
