district,localities,hhsize,room_in_house_1,room_in_house_2,room_in_house_3,room_in_house_4,room_in_house_5,room_in_house_6,room_in_house_7,room_in_house_8,room_in_house_9
BAJAUR AGENCY,URBAN,4 PERSONS,,,,,,,,,
BAJAUR AGENCY,URBAN,5 PERSONS,,,,,,,,,
BAJAUR AGENCY,URBAN,6 PERSONS,,,,,,,,,
BAJAUR AGENCY,URBAN,7 PERSONS,,,,,,,,,
BAJAUR AGENCY,URBAN,8 PERSONS,,,,,,,,,
BAJAUR AGENCY,URBAN,9 PERSONS,,,,,,,,,
BAJAUR AGENCY,URBAN,10 PERSONS AND ABOVE,,,,,,,,,
BANNU DISTRICT,RURAL,1 PERSON,532,232,122,69,35,20,10,5,18
BANNU DISTRICT,RURAL,2 PERSONS,1581,955,385,139,57,41,17,10,17
BANNU DISTRICT,RURAL,3 PERSONS,1698,1584,671,269,95,50,25,13,26
BANNU DISTRICT,RURAL,4 PERSONS,1955,2553,1145,477,166,81,57,13,34
BANNU DISTRICT,RURAL,5 PERSONS,2189,3594,1976,835,295,136,83,26,42
BANNU DISTRICT,RURAL,6 PERSONS,2150,4521,2845,1265,465,227,98,46,54
BANNU DISTRICT,RURAL,7 PERSONS,1701,4594,3541,1648,661,285,160,55,94
BANNU DISTRICT,RURAL,8 PERSONS,1152,3843,3446,1885,739,339,153,82,83
BANNU DISTRICT,RURAL,9 PERSONS,651,2755,2976,1777,789,352,169,73,80
BANNU DISTRICT,RURAL,10 PERSONS AND ABOVE,975,4516,9157,9781,6622,4558,2466,1608,2775
BANNU DISTRICT,URBAN,1 PERSON,69,57,30,15,8,2,3,2,11
BANNU DISTRICT,URBAN,2 PERSONS,53,114,53,29,16,7,6,3,6
BANNU DISTRICT,URBAN,3 PERSONS,65,157,73,31,26,9,7,4,6
BANNU DISTRICT,URBAN,4 PERSONS,79,202,115,77,31,23,17,6,8
BANNU DISTRICT,URBAN,5 PERSONS,74,264,185,113,59,27,16,14,16
BANNU DISTRICT,URBAN,6 PERSONS,54,292,181,135,68,34,28,13,22
BANNU DISTRICT,URBAN,7 PERSONS,42,225,197,85,63,31,19,14,13
BANNU DISTRICT,URBAN,8 PERSONS,24,146,135,95,55,37,22,10,11
BANNU DISTRICT,URBAN,9 PERSONS,13,88,91,78,43,19,16,15,8
BANNU DISTRICT,URBAN,10 PERSONS AND ABOVE,27,138,252,296,217,179,88,98,89
BARKHAN DISTRICT,RURAL,1 PERSON,369,86,32,23,6,4,2,4,2
BARKHAN DISTRICT,RURAL,2 PERSONS,1171,557,254,106,42,26,16,9,11
BARKHAN DISTRICT,RURAL,3 PERSONS,1087,741,332,151,54,41,20,6,9
BARKHAN DISTRICT,RURAL,4 PERSONS,1006,852,438,197,63,68,17,12,29
BARKHAN DISTRICT,RURAL,5 PERSONS,988,887,524,234,69,99,30,9,34
BARKHAN DISTRICT,RURAL,6 PERSONS,735,836,587,260,78,105,23,13,36
BARKHAN DISTRICT,RURAL,7 PERSONS,597,887,632,284,104,114,38,9,46
BARKHAN DISTRICT,RURAL,8 PERSONS,389,677,520,293,101,97,35,13,50
BARKHAN DISTRICT,RURAL,9 PERSONS,270,451,392,247,99,98,33,9,64
BARKHAN DISTRICT,RURAL,10 PERSONS AND ABOVE,484,835,860,601,361,268,141,54,314
BARKHAN DISTRICT,URBAN,1 PERSON,11,7,3,2,2,,,,
BARKHAN DISTRICT,URBAN,2 PERSONS,33,30,9,10,4,1,1,1,1
BARKHAN DISTRICT,URBAN,3 PERSONS,37,46,12,3,3,3,3,3,1
BARKHAN DISTRICT,URBAN,4 PERSONS,36,75,18,15,4,3,2,2,
BARKHAN DISTRICT,URBAN,5 PERSONS,51,91,26,9,4,1,5,3,
BARKHAN DISTRICT,URBAN,6 PERSONS,30,80,38,10,10,,2,4,3
BARKHAN DISTRICT,URBAN,7 PERSONS,33,88,56,27,4,6,2,,
BARKHAN DISTRICT,URBAN,8 PERSONS,13,74,37,13,7,4,3,3,
BARKHAN DISTRICT,URBAN,9 PERSONS,7,46,32,19,6,1,4,2,1
BARKHAN DISTRICT,URBAN,10 PERSONS AND ABOVE,30,72,97,71,56,26,13,6,11
BATAGRAM DISTRICT,RURAL,1 PERSON,406,162,46,21,7,4,1,4,3
BATAGRAM DISTRICT,RURAL,2 PERSONS,2097,1798,374,104,28,28,11,5,9
BATAGRAM DISTRICT,RURAL,3 PERSONS,2213,2524,629,204,72,36,18,8,10
BATAGRAM DISTRICT,RURAL,4 PERSONS,2390,3366,981,366,103,46,23,10,15
BATAGRAM DISTRICT,RURAL,5 PERSONS,2099,4208,1364,485,159,103,31,20,26
BATAGRAM DISTRICT,RURAL,6 PERSONS,1740,4468,1608,692,217,145,29,33,26
BATAGRAM DISTRICT,RURAL,7 PERSONS,1218,4053,1734,729,245,170,56,34,43
BATAGRAM DISTRICT,RURAL,8 PERSONS,775,3401,1610,853,250,135,50,45,34
BATAGRAM DISTRICT,RURAL,9 PERSONS,420,2253,1333,709,206,139,57,30,51
BATAGRAM DISTRICT,RURAL,10 PERSONS AND ABOVE,491,3457,3196,2435,1102,875,306,311,426
BATAGRAM DISTRICT,URBAN,1 PERSON,,,,,,,,,
BATAGRAM DISTRICT,URBAN,2 PERSONS,,,,,,,,,
BATAGRAM DISTRICT,URBAN,3 PERSONS,,,,,,,,,
BATAGRAM DISTRICT,URBAN,4 PERSONS,,,,,,,,,
BATAGRAM DISTRICT,URBAN,5 PERSONS,,,,,,,,,
BATAGRAM DISTRICT,URBAN,6 PERSONS,,,,,,,,,
BATAGRAM DISTRICT,URBAN,7 PERSONS,,,,,,,,,
BATAGRAM DISTRICT,URBAN,8 PERSONS,,,,,,,,,
BATAGRAM DISTRICT,URBAN,9 PERSONS,,,,,,,,,
BATAGRAM DISTRICT,URBAN,10 PERSONS AND ABOVE,,,,,,,,,
BHAKKAR DISTRICT,RURAL,1 PERSON,2188,942,283,121,41,28,14,7,16
BHAKKAR DISTRICT,RURAL,2 PERSONS,9455,6162,1505,521,168,72,56,13,33
BHAKKAR DISTRICT,RURAL,3 PERSONS,10112,8324,2491,879,291,136,86,33,37
BHAKKAR DISTRICT,RURAL,4 PERSONS,10416,11820,3975,1552,510,229,104,46,70
BHAKKAR DISTRICT,RURAL,5 PERSONS,9518,13887,5585,2357,797,311,182,71,92
BHAKKAR DISTRICT,RURAL,6 PERSONS,7764,14143,6171,2821,903,438,203,105,141
BHAKKAR DISTRICT,RURAL,7 PERSONS,5240,11293,5926,2716,1039,472,227,104,131
BHAKKAR DISTRICT,RURAL,8 PERSONS,3177,7847,4752,2467,942,443,173,105,125
BHAKKAR DISTRICT,RURAL,9 PERSONS,1740,4984,3402,1968,768,403,185,82,106
BHAKKAR DISTRICT,RURAL,10 PERSONS AND ABOVE,1977,6329,6215,5138,2673,1774,794,620,913
