district,localities,material,location,owned,rented,rentfree
DERA GHAZI KHAN DISTRICT,Rural,Wood / Bamboo,Roof,107550,893,3894
DERA GHAZI KHAN DISTRICT,Rural,Others,Roof,7617,147,592
DERA GHAZI KHAN DISTRICT,Urban,Baked Bricks / Blocks / Stone,Wall,52158,12010,1839
DERA GHAZI KHAN DISTRICT,Urban,Unbaked Bricks / Mud,Wall,3413,537,207
DERA GHAZI KHAN DISTRICT,Urban,Wood / Bamboo,Wall,262,59,169
DERA GHAZI KHAN DISTRICT,Urban,Others,Wall,900,129,153
DERA GHAZI KHAN DISTRICT,Urban,Rcc / Rbc,Roof,10811,2792,509
DERA GHAZI KHAN DISTRICT,Urban,Cement / Iron Sheets,Roof,1704,623,53
DERA GHAZI KHAN DISTRICT,Urban,Garder / T.Iron,Roof,38600,8417,1185
DERA GHAZI KHAN DISTRICT,Urban,Wood / Bamboo,Roof,4417,722,463
DERA GHAZI KHAN DISTRICT,Urban,Others,Roof,1201,181,158
DERA ISMAIL KHAN DISTRICT,Rural,Baked Bricks / Blocks / Stone,Wall,57581,5481,1751
